grouptype	key	name	regions	websiteUrl
byocean	pacificarea	Регионы имеющие выход к Тихому океану	25,27,41,65	
byocean	arcticarea	Регионы имеющие выход к Арктическому океану	10,14,24,29,51,83,87,89	
byocean	atlanticarea	Регионы имеющие выход к Атлантическому океану	23,39,47,61,78	
bysea	balticarea	Регионы Балтийского моря	39,47,78	
bysea	barentsarea	Регионы Баренцова моря	29,51,83	
bysea	whiteseaarea	Регионы Белого моря	10,29,83	
bysea	blackseaarea	Регионы Черного моря	23	
bysea	azovarea	Регионы Азовского моря	23,61	
bysea	caspianarea	Регионы Каспийского моря	05,08,30	
bysea	chukotarea	Регионы Чукотского моря	87	
bysea	eastsibarea	Регионы Восточно-Сибирского моря	14,87	
bysea	jappanarea	Регионы Японского моря	25,27,65	
bysea	okhotseaarea	Регионы Охотского моря	27,41,65	
bysea	kaseaarea	Регионы Карского моря	24,29,83,89	
bysea	beringarea	Регионы Берингова моря	41,87	
bysea	sealaptarea	Регионы Моря Лаптевых	14,24	
bysea	pechorarea	Регионы Печорского моря	29,83	
countryborders	belarusarea	Регионы граничащие с Республикой Беларусь	30,60,67	
countryborders	estarea	Регионы граничащие с Эстонией	47,69	
countryborders	latvarea	Регионы граничащие с Латвией	60	
countryborders	finarea	Регионы граничащие с Финляндией	10,47,51	
countryborders	litharea	Регионы граничащие с Литвой	39	
countryborders	polandarea	Регионы граничащие с Польшой	39	
countryborders	norwayarea	Регионы граничащие с Норвегией	51	
countryborders	ukrarea	Регионы граничащие с Украиной	23,31,32,36,46,61	
countryborders	azarea	Регионы граничащие с Азербайджаном	05	
countryborders	georgarea	Регионы граничащие с Грузией	07,06,09,15,20,23	
countryborders	kazakharea	Регионы граничащие с Казахстаном	04,22,30,34,45,54,55,56,63,64,72,74	
countryborders	chinaarea	Регионы граничащие с Китаем	04,28,75,79	
countryborders	mongarea	Регионы граничащие с Монголией	03,04,17,75	
bytimezone	utc2area	Регионы во временной зоне UTC+2	39	
bytimezone	utc3area	Регионы во временной зоне UTC+3	01,05,06,07,08,09,10,11,12,13,15,16,20,21,23,26,29,30,31,32,33,34,35,36,37,40,43,44,44,46,47,48,50,51,52,53,57,58,60,61,62,64,67,69,71,73,76,77,78,83,68	
bytimezone	utc4area	Регионы во временной зоне UTC+4	18,63	
bytimezone	utc5area	Регионы во временной зоне UTC+5	02,45,56,59,66,72,74,86,89	
bytimezone	utc6area	Регионы во временной зоне UTC+6	04,22,54,55,70	
bytimezone	utc7area	Регионы во временной зоне UTC+7	17,19,24,42	
bytimezone	utc8area	Регионы во временной зоне UTC+8	03,38	
bytimezone	utc9area	Регионы во временной зоне UTC+9	14,28,75	
bytimezone	utc10area	Регионы во временной зоне UTC+10	25,27,65,79	
bytimezone	utc11area	Регионы во временной зоне UTC+11	49	
bytimezone	utc12area	Регионы во временной зоне UTC+12	41,87	
byregtype	republics	Республики		
byregtype	oblast	Области		
byregtype	autonomarea	Автономные округа		
byregtype	autonomoblast	Автономные области		
byregtype	krai	Края (регионы России)		
byregtype	fedcity	Города федерального значения		
byindustry	oilprocess	Регионы, центры переработки нефти	34,38,24,50,03,12,62,63,64,27,86	
energyreg	atomstations	Регионы в которых действуют атомные электростанции	64,66,87,69,51,46,47,36,61,67	
energyreg	hydrostations	Регионы в которых действуют крупнейшие гидроэлектростанции	19,24,38,34,63,28,52,21,12,64,16,50,59,05	
energyreg	geostations	Регионы в которых действуют геотермальные электростанции	65,41	
notransportregs	nointairports	Регионы в которых отсутствуют международные аэропорты		
byconfession	orthodoxy	Регионы с преимущественно православным населенеим		
byconfession	agnostic	Регионы преимущественно агностичные		
byconfession	muslim	Регионы преимущественно исламские	05,06,07,20,09,16	
byconfession	buddism	Регионы преимущественно буддисткого вероисповедания	17,08,03	
argo	agroregions	Ключевые агрорегионы		
bankreg	bankalphareg	Регионы с присутствием Альфа-Банка	77,50,78,66,63,54,72,61,27,24,16,02	
bankreg	bankmdmreg	Регионы с присутствием МДМ-Банка		
bankreg	bankvtb24reg	Регионы с присутствием ВТБ24	77,50,78,23,66,63,54,36,27	
bankreg	bankabsolutereg	Регионы с присутствием Абсолют Банка	77,50,78,66,55,02,63,59,16,74,72,26,42,61,64,54,52,34,24,23,22,56	
bankreg	bankraiffreg	Регионы с присутствием Раффайзен Банка	77,50,78,66,63,54,74,52,23,24,59,72,28,25,41,38,49,27,04,02,46	
bankreg	bankcityreg	Регионы с присутствием Ситибанка	77,50,78,63,61,66,52,02,34	
bankreg	bankunikredit	Регионы с присутствием Банка Юникредит	77,50,78,61,74,59,23,36,63,66,52,54,02,34,26	
