key	name	regions	websiteUrl	wikipediaUrl	descriptionUrl	lang	orgtype
turksoy	Международная организация тюркской культуры	02,04,19,16,14	http://www.turksoy.org.tr/	http://ru.wikipedia.org/wiki/Международная_организация_тюркской_культуры		ru	international
bigvolga	Ассоциация «Большая Волга»		http://bigvolga.org/		http://www.politika.su/reg/regass.html	ru	association
fareastassoc	Межрегиональная Ассоциация «Дальний Восток и Забайкалье»		http://www.assoc.fareast.ru/fe.nsf/		http://www.politika.su/reg/regass.html	ru	association
askregion	Ассоциация социально-экономического сотрудничества республик, краев и областей Северного Кавказа		http://askregion.ru		http://www.politika.su/reg/regass.html	ru	association
nwassoc	Ассоциация экономического взаимодействия территорий Северо-Запада Российской Федерации				http://www.politika.su/reg/regass.html	ru	association
sibacc	Межрегиональная ассоциация "Сибирское соглашение"		http://www.sibacc.ru/		http://www.politika.su/reg/regass.html	ru	association
bigural	Ассоциация экономического взаимодействия областей и республик Уральского региона 		http://www.bigural.ru/		http://www.politika.su/reg/regass.html	ru	association
centrassoc	Ассоциация областей и городов Центрального района России 				http://www.politika.su/reg/regass.html	ru	association
centrearthassoc	Ассоциация экономического взаимодействия областей Центрально-Черноземного региона РСФСР		http://www.chernozem.ru/		http://www.politika.su/reg/regass.html	ru	association
kazakvolga	Волжское войсковое казачье общество	60,53,47,10,51,29,83,53,59,11,35,76,44,37,33,52,12,13,21,58,63,64,73	http://www.kazak-volga.ru/	http://ru.wikipedia.org/wiki/Волжское_казачье_войско		ru	kazaks
sibkazak	Сибирское войсковое казачье общество	42,55,22,86	http://www.ruskazak.ru/			ru	kazaks
kazakchita	Забайкальское войсковое казачье общество		http://www.kazak-chita.ru/			ru	kazaks
terkazak	Терское войсковое казачье общество					ru	kazaks
ukvkazaki	Уссурийское войсковое казачье общество		http://kazaki-ukv.ru/			ru	kazaks
donkazaki	Войсковое казачье общество «Всевеликое войско Донское»					ru	kazaks
eniseykazaki	Енисейское войсковое казачье общество		http://www.eniseycossacks.ru/			ru	kazaks
orenkazak	Оренбургское войсковое казачье общество	56,74,66,45	http://www.orenburgkazak.ru			ru	kazaks
kubankazak	Кубанское войсковое казачье общество	01,09,23	http://www.slavakubani.ru/			ru	kazaks
irkkazak	Иркутское войсковое казачье общество		http://www.irkv.ru/			ru	kazaks
ckwkazak	Войсковое казачье общество «Центральное казачье войско»		http://www.ckw.ru/			ru	kazaks
barentscoop	Barents Euro-Arctic Cooperation	10,11,29,51,83	http://www.beac.st/in_English/Barents_Euro-Arctic_Council/Barents_Regional_Council/Regional_Committee.iw3			en	international
