key	name	category
area	Рейтинг по площади территории	common
population	Рейтинг по населению	common
density	Рейтинг по плотности населения	common
russhare	Рейтинг по доле русского населения	demography
rusnumbers	Рейтинг по общему числу русского населения	demography
numkredorgs	Рейтинг по числу кредитных организаций	cbr
numsubkredorgs	Рейтинг по числу филиалов кредитных организаций	cbr
kredactives	Рейтинг по сумме активов кредитных организаций	cbr
kredactivessh	Рейтинг по доле активов кредитных организаций	cbr
kredactivesptp	Рейтинг по сумме активов кредитных организаций на 1000 человек	cbr
kredpassives	Рейтинг по сумме пассивов кредитных организаций	cbr
kredpassivessh	Рейтинг по доле пассивов кредитных организаций	cbr
kredpassivesptp	Рейтинг по сумме пассивов кредитных организаций на 1000 человек	cbr
potrebkredits	Рейтинг по объёму выдаваемых потребительских кредитов кредитными организациями	cbr
numpostoff	Рейтинг по числу почтовых отделений	ruspost
numpostoffptp	Рейтинг по числу почтовых отделений на тысячу человек	ruspost
numpostoffptkm	Рейтинг по числу почтовых отделений на тысячу квадратных километров	ruspost
numsberfil	Рейтинг по числу филиалов Сбербанка	sberbank
numsbbnkt	Рейтинг по числу банкоматов Сбербанка	sberbank
numsborgbnkt	Рейтинг по числу банкоматов Сбербанка для оплаты услуг организаций	sberbank
numsbterms	Рейтинг по числу терминалов самообслуживания Сбербанка	sberbank
numsbonterms	Рейтинг по числу терминалов Сбербанка для онлайн платежей	sberbank
fulldebt	Рейтинг по полному государственому и муниципальному долгу	finances
regdebt	Рейтинг по государственному долгу	finances
mundebt	Рейтинг по муниципальному долгу	finances
fulldebtptp	Рейтинг по полному государственному и муниципальному долгу на тысячу человек	finances
regdebtptp	Рейтинг по государственному долгу на тысячу человек	finances
mundebtptp	Рейтинг по муниципальному долгу на тысячу человек	finances
fulldebtptkm	Рейтинг по полному государственному и муниципальному долгу на тысячу кв.км.	finances
regdebtptkm	Рейтинг по государственному долгу на тысячу кв.км.	finances
mundebtptkm	Рейтинг по муниципальному долгу на тысячу кв.км.	finances
